frame,msdh,msmc,longitude,latitude,v,date,time,pz,state
1,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,AB3763D,True
2,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
3,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
4,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
5,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
6,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
7,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
8,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:,A03763D,True
9,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
10,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
11,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
12,0,safe driving,121.3658,31.25737,11,2020-07-14,18:17:01,A03763D,True
13,0,safe driving,121.3658,31.25737,13,2020-07-14,18:17:02,A03763D,True
14,0,safe driving,121.3658,31.25737,13,2020-07-14,18:17:02,A3763D,True
15,3,drinking,121.3658,31.25737,13,2020-07-14,18:17:02,A3763D,True
16,3,drinking,121.3658,31.25737,13,2020-07-14,18:17:02,A3763D,True
17,3,drinking,121.3658,31.25737,13,2020-07-14,18:17:02,A3763D,True
18,7,hands off the steering wheel,121.3658,31.25737,13,2020-07-14,18:17:02,A03763D,True
19,3,drinking,121.3658,31.25737,13,2020-07-14,18:17:02,A03763D,True
20,3,drinking,1213658.0,31.2537,13,2020-07-14,18:17:02,AD3763D,True
21,3,drinking,121.3658,31.25737,13,2020-07-14,18:17:2,AD3763D,True
22,3,drinking,121.3658,31.25737,13,2020-07-14,18:17:02,A03763D,True
23,3,drinking,121.3657,31.2578,20,2020-07-14,18:17:03,A03763D,True
24,3,drinking,1213657.0,31.2578,20,2020-07-14,18:17:03,A03763D,True
25,3,drinking,121.3657,31.2578,20,2020-07-14,18:17:03,AB3763D,True
26,3,drinking,121.3657,31.2578,20,2020-07-14,18:17:03,A03763D,True
27,5,touch face,121.3657,31.2578,20,2020-07-14,18:17:03,A03763D,True
28,3,drinking,1213657.0,31.2578,20,2020-07-14,18:17:,A03763D,True
29,3,drinking,1213657.0,31.2578,20,2020-07-14,18:17:,A03763D,True
30,7,hands off the steering wheel,1213657.0,31.2578,20,2020-07-14,18:17:,AN3763D,True
31,7,hands off the steering wheel,1213657.0,31.2578,20,2020-07-14,18:17:,AD3763D,True
32,7,hands off the steering wheel,1213657.0,31.2578,20,2020-07-14,18:17:,A03763D,True
33,7,hands off the steering wheel,1213657.0,31.2578,20,2020-07-14,18:17:03,A03763D,True
34,7,hands off the steering wheel,1213657.0,31.2578,20,2020-07-14,18:17:03,A03763D,True
