,kmeans_label,hierarchical_label
0,1,1
1,1,1
2,2,2
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,2,3
11,0,2
12,1,1
13,1,1
14,2,3
15,1,1
16,0,2
17,1,1
18,0,3
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,2,3
27,2,3
28,0,2
29,1,1
30,0,3
31,0,3
32,1,1
33,0,3
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,0,3
40,2,3
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,0,2
49,1,1
50,0,3
51,2,2
52,2,3
53,0,2
54,1,1
55,2,3
56,2,3
57,2,2
58,1,1
59,1,1
60,2,3
61,1,1
62,0,2
63,0,3
64,0,3
65,1,1
66,0,3
67,0,3
68,1,1
69,0,2
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,0,2
76,2,3
77,2,3
78,0,3
79,1,1
80,0,3
81,2,2
82,2,3
83,1,1
84,2,2
85,1,1
86,1,1
87,0,3
88,0,2
89,1,1
90,1,1
91,1,1
92,1,1
93,2,2
94,1,1
95,1,1
96,2,3
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,0,3
103,2,3
104,1,1
105,1,1
106,1,1
107,0,3
108,1,1
109,2,3
110,0,3
111,2,3
112,1,1
113,0,3
114,2,2
115,2,3
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,0,3
129,2,2
130,2,2
131,0,3
132,1,1
133,1,1
134,1,1
135,1,1
136,2,2
137,1,1
138,1,1
139,2,3
140,2,2
141,1,1
142,1,1
143,0,2
144,1,1
145,0,3
146,2,3
147,0,3
148,1,1
149,2,3
150,1,1
151,1,1
152,1,1
153,1,1
154,0,3
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,0,2
164,0,2
165,0,3
166,1,3
167,1,1
168,2,2
169,1,3
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,0,2
176,1,1
177,2,2
178,2,2
179,1,1
180,1,1
181,2,2
182,1,1
183,0,2
184,0,3
185,0,3
186,1,1
187,1,1
188,1,1
189,0,2
190,1,1
191,2,3
192,2,3
193,1,1
194,0,3
195,0,3
196,1,1
197,0,2
198,1,1
199,1,1
200,1,3
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,2,3
210,1,1
211,2,2
212,1,1
213,0,3
214,1,1
215,0,3
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,2,3
222,2,3
223,1,1
224,1,1
225,1,1
226,1,1
227,0,2
228,1,1
229,1,1
230,0,2
231,2,2
232,0,3
233,1,1
234,1,1
235,0,2
236,2,3
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,1
244,1,3
245,1,1
246,0,3
247,0,3
248,2,3
249,1,1
250,1,1
251,1,1
252,0,3
253,2,2
254,1,1
255,2,2
256,0,3
257,0,2
258,1,1
259,0,3
260,0,3
261,1,1
262,1,1
263,1,1
264,1,1
265,2,3
266,1,1
267,2,2
268,1,1
269,1,1
270,0,2
271,1,1
272,0,3
273,1,1
274,2,3
275,1,1
276,1,1
277,2,2
278,1,1
279,1,1
280,1,1
281,2,2
282,2,3
283,1,1
284,1,1
285,1,1
286,2,3
287,1,1
288,2,2
289,2,3
290,0,2
291,1,1
292,1,1
293,0,2
294,1,1
295,0,3
296,1,1
297,0,2
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,2,3
306,0,2
307,2,3
308,0,2
309,0,3
310,1,1
311,2,2
312,2,2
313,2,3
314,1,1
315,2,3
316,1,1
317,1,1
318,0,3
319,2,3
320,0,2
321,0,3
322,2,2
323,1,1
324,2,3
325,1,1
326,2,3
327,1,1
328,2,3
329,2,3
330,1,1
331,0,3
332,0,3
333,1,1
334,1,1
335,0,2
336,1,1
337,1,1
338,1,1
339,2,2
340,2,3
341,1,1
342,2,3
343,0,2
344,1,1
345,1,1
346,2,3
347,1,1
348,1,1
349,1,1
350,2,2
351,1,1
352,0,3
353,1,1
354,1,1
355,1,1
356,2,2
357,1,1
358,1,1
359,2,3
360,0,3
361,2,3
362,1,1
363,2,2
364,0,3
365,0,3
366,1,1
367,1,1
368,0,3
369,2,3
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,2,3
377,2,3
378,1,1
379,2,3
380,2,2
381,1,1
382,1,3
383,1,1
384,1,1
385,0,3
386,1,1
387,0,3
388,1,1
389,1,1
390,1,1
391,1,1
392,0,3
393,1,1
394,0,3
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,0,3
402,1,1
403,1,1
404,0,3
405,1,1
406,1,1
407,0,3
408,1,1
409,1,1
410,1,1
411,1,1
412,0,3
413,1,1
414,2,3
415,1,1
416,1,1
417,0,3
418,0,3
419,1,1
420,1,1
421,1,1
422,2,3
423,0,2
424,1,1
425,1,1
426,2,2
427,1,1
428,2,3
429,1,1
430,1,1
431,1,1
432,2,3
433,1,1
434,2,3
435,1,1
436,0,3
437,1,1
438,0,3
439,1,1
440,0,2
441,0,3
442,2,2
443,0,2
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,0,2
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,0,3
457,0,3
458,2,3
459,1,1
460,0,3
461,0,2
462,1,1
463,0,3
464,1,1
465,2,3
466,2,3
467,1,1
468,2,3
469,1,1
470,0,2
471,2,2
472,0,2
473,1,1
474,1,1
475,1,1
476,1,1
477,2,3
478,1,1
479,0,3
480,1,1
481,0,2
482,1,1
483,2,3
484,2,3
485,1,1
486,0,3
487,0,3
488,0,2
489,1,1
490,1,1
491,0,3
492,1,3
493,1,1
494,1,1
495,1,1
496,2,2
497,2,2
498,2,3
499,1,1
500,1,1
501,0,2
502,0,3
503,0,3
504,1,1
505,1,1
506,1,1
507,0,3
508,1,1
509,0,2
510,1,1
511,2,2
512,0,2
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,0,2
519,1,1
520,1,1
521,1,1
522,0,2
523,1,1
524,2,2
525,1,1
526,1,1
527,2,2
528,0,3
529,2,2
530,1,3
531,1,1
532,1,1
533,1,1
534,1,1
535,1,1
536,2,2
537,2,3
538,2,3
539,1,1
540,1,1
541,2,3
542,0,3
543,1,1
544,1,1
545,1,3
546,0,2
547,1,1
548,0,3
549,2,3
550,0,3
551,1,1
552,1,1
553,1,1
554,0,2
555,1,1
556,1,1
557,1,1
558,1,1
559,1,1
560,1,1
561,0,2
562,0,3
563,1,1
564,0,3
565,1,1
566,0,2
567,1,1
568,2,3
569,2,3
570,1,1
571,2,2
572,1,1
573,1,1
574,0,3
575,0,2
576,1,1
577,0,2
578,1,1
579,1,1
580,2,2
581,1,1
582,0,3
583,1,1
584,1,3
585,0,3
586,1,1
587,1,1
588,1,1
589,1,3
590,1,1
591,1,1
592,1,1
593,1,1
594,2,3
595,0,3
596,1,1
597,2,3
598,1,1
599,2,3
600,1,1
601,1,3
602,1,1
603,1,1
604,1,1
605,2,3
606,0,3
607,1,1
608,2,3
609,1,1
610,1,1
611,1,1
612,1,1
613,1,1
614,0,3
615,0,2
616,0,3
617,1,1
618,1,1
619,0,3
620,1,1
621,1,1
622,1,1
623,1,1
624,1,1
625,0,3
626,1,1
627,2,3
628,0,3
629,0,3
630,0,2
631,1,1
632,1,1
633,0,2
634,1,1
635,1,1
636,1,1
637,0,3
638,0,2
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,1,1
646,1,1
647,0,2
648,1,1
649,1,1
650,0,3
651,0,3
652,2,2
653,2,2
654,0,2
655,0,3
656,2,3
657,1,1
658,0,2
659,1,1
660,1,1
661,0,3
662,0,2
663,2,3
664,0,3
665,2,2
666,1,1
667,0,3
668,1,1
669,0,3
670,1,3
671,0,3
672,0,2
673,1,1
674,1,1
675,1,1
676,1,1
677,1,1
678,2,3
679,1,1
680,2,2
681,1,1
682,1,1
683,1,1
684,2,3
685,1,1
686,1,1
687,1,1
688,0,3
689,0,2
690,1,1
691,0,2
692,2,2
693,1,1
694,0,2
695,0,3
696,1,1
697,1,1
698,0,3
699,1,1
700,1,1
701,2,3
702,2,2
703,0,3
704,1,1
705,0,3
706,1,1
707,1,1
708,0,2
709,2,2
710,2,2
711,2,3
712,1,1
713,1,1
714,0,3
715,2,2
716,1,1
717,2,3
718,2,2
719,1,1
720,1,1
721,1,1
722,1,1
723,2,3
724,1,1
725,2,3
726,1,1
727,1,1
728,0,3
729,1,1
730,1,1
731,0,2
732,0,3
733,0,2
734,1,1
735,2,3
736,1,1
737,0,2
738,1,1
739,1,1
740,0,3
741,1,1
742,1,1
743,1,1
744,1,1
745,2,3
746,2,3
747,1,3
748,0,2
749,1,1
750,1,1
751,1,1
752,1,1
753,1,1
754,0,3
755,1,1
756,0,2
757,1,1
758,1,1
759,1,1
760,0,3
761,1,1
762,2,2
763,2,2
764,1,1
765,1,1
766,1,1
767,1,1
768,1,1
769,2,2
770,1,1
771,1,1
772,1,1
773,0,3
774,2,2
775,1,1
776,1,1
777,2,3
778,1,1
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,0,2
786,1,1
787,1,1
788,1,1
789,1,1
790,0,3
791,0,3
792,1,3
793,1,1
794,1,1
795,0,2
796,1,1
797,2,3
798,1,1
799,1,1
800,1,1
801,2,2
802,0,3
803,2,3
804,0,3
805,1,1
806,0,3
807,1,1
808,0,3
809,0,3
810,1,1
811,0,2
812,1,1
813,2,2
814,2,3
815,1,1
816,1,1
817,2,2
818,1,1
819,1,1
820,0,3
821,1,1
822,0,3
823,1,1
824,1,1
825,1,1
826,1,1
827,2,3
828,1,1
829,2,3
830,0,3
831,1,1
832,2,3
833,1,1
834,1,1
835,1,1
836,1,1
837,1,1
838,0,2
839,1,1
840,1,1
841,2,3
842,1,1
843,1,1
844,1,1
845,2,3
846,0,2
847,1,1
848,1,1
849,1,1
850,2,2
851,2,3
852,2,3
853,1,1
854,1,1
855,2,2
856,0,3
857,2,2
858,1,1
859,1,1
860,2,2
861,1,1
862,0,3
863,1,1
864,0,2
865,0,3
866,1,1
867,1,1
868,1,1
869,0,3
870,1,1
871,0,2
872,1,1
873,1,1
874,0,3
875,1,1
876,1,1
877,1,3
878,0,3
879,1,1
880,1,1
881,1,1
882,1,1
883,0,2
884,0,3
885,1,1
886,1,1
887,1,1
888,1,1
889,2,2
890,1,1
891,1,1
892,1,1
893,1,1
894,2,2
895,1,1
896,1,1
897,1,1
898,1,1
899,2,3
900,1,1
901,1,1
902,1,1
903,1,1
904,1,1
905,1,1
906,1,1
907,1,1
908,1,1
909,2,3
910,1,1
911,1,1
912,0,2
913,1,1
914,2,2
915,0,2
916,0,3
917,1,3
918,1,1
919,1,1
920,0,2
921,1,1
922,0,3
923,1,1
924,1,1
925,2,2
926,0,2
927,2,2
928,2,3
929,2,3
930,1,1
931,1,1
932,0,2
933,2,2
934,1,1
935,1,1
936,0,2
937,0,3
938,1,1
939,0,2
940,1,1
941,1,1
942,1,1
943,0,3
944,0,3
945,0,3
946,1,1
947,2,2
948,1,1
949,0,3
950,0,2
951,1,1
952,0,3
953,2,3
954,0,2
955,1,1
956,1,1
957,0,3
958,2,3
959,1,1
960,1,1
961,0,3
962,0,2
963,2,3
964,0,3
965,1,1
966,1,1
967,2,3
968,1,1
969,1,1
970,0,3
971,0,3
972,1,1
973,1,1
974,0,3
975,2,2
976,0,3
977,0,2
978,1,1
979,0,3
980,0,2
981,0,2
982,1,1
983,2,3
984,1,1
985,0,3
986,1,1
987,1,1
988,1,1
989,1,1
990,0,3
991,0,3
992,1,1
993,0,2
994,1,1
995,2,3
996,1,1
997,2,3
998,1,1
999,1,1
1000,1,1
1001,1,1
1002,2,3
1003,0,3
1004,0,3
1005,1,1
1006,1,1
1007,1,1
1008,1,3
1009,2,3
1010,1,1
1011,1,1
1012,1,1
1013,2,2
1014,2,3
1015,0,3
1016,1,1
1017,1,1
1018,1,1
1019,2,2
1020,2,3
1021,1,1
1022,1,1
1023,0,3
1024,1,1
1025,0,3
1026,1,1
1027,1,1
1028,0,3
1029,1,1
1030,2,3
1031,1,1
1032,1,1
1033,0,2
1034,0,2
1035,0,3
1036,1,1
1037,1,1
1038,1,1
1039,2,2
1040,1,1
1041,2,2
1042,1,1
1043,1,1
1044,2,2
1045,0,3
1046,1,1
1047,1,1
1048,1,1
1049,2,3
1050,1,1
1051,1,1
1052,0,3
1053,1,1
1054,1,1
1055,1,1
1056,0,2
1057,2,3
1058,1,1
1059,0,2
1060,1,1
1061,0,2
1062,0,3
1063,0,2
1064,1,3
1065,0,3
1066,1,1
1067,0,3
1068,1,1
1069,1,1
1070,1,1
1071,0,3
1072,1,1
1073,1,1
1074,1,1
1075,0,3
1076,0,3
1077,0,2
1078,1,1
1079,2,3
1080,1,1
1081,1,1
1082,1,1
1083,1,1
1084,1,1
1085,1,1
1086,0,2
1087,0,3
1088,1,1
1089,1,1
1090,1,1
1091,0,3
1092,1,1
1093,1,1
1094,0,3
1095,1,1
1096,1,1
1097,1,1
1098,1,1
1099,0,2
1100,1,1
1101,0,3
1102,1,1
1103,1,1
1104,1,1
1105,1,1
1106,1,1
1107,1,1
1108,1,1
1109,0,3
1110,2,3
1111,1,1
1112,1,1
1113,1,1
1114,1,1
1115,1,1
1116,1,1
1117,0,2
1118,2,3
1119,1,1
1120,1,1
1121,2,3
1122,2,2
1123,2,3
1124,0,2
1125,0,3
1126,1,1
1127,1,1
1128,0,3
1129,1,1
1130,1,1
1131,1,1
1132,0,3
1133,1,3
1134,1,1
1135,2,3
1136,1,1
1137,0,3
1138,1,1
1139,1,1
1140,0,2
1141,0,3
1142,0,2
1143,0,3
1144,0,3
1145,1,1
1146,1,1
1147,2,2
1148,0,2
1149,1,1
1150,2,3
1151,0,2
1152,2,3
1153,2,2
1154,1,1
1155,1,1
1156,2,3
1157,1,1
1158,1,1
1159,1,1
1160,1,1
1161,1,1
1162,2,3
1163,1,1
1164,1,1
1165,0,2
1166,2,2
1167,1,1
1168,1,1
1169,0,2
1170,2,3
1171,1,1
1172,0,2
1173,1,1
1174,1,1
1175,0,2
1176,0,3
1177,1,1
1178,0,2
1179,1,1
1180,1,1
1181,2,3
1182,1,1
1183,1,1
1184,1,1
1185,0,2
1186,2,2
1187,1,1
1188,2,3
1189,1,1
1190,1,1
1191,1,1
1192,1,1
1193,2,2
1194,0,2
1195,1,1
1196,1,1
1197,1,1
1198,0,2
1199,1,1
1200,0,3
1201,1,1
1202,0,2
1203,1,1
1204,1,1
1205,2,3
1206,0,3
1207,0,3
1208,1,1
1209,0,3
1210,0,2
1211,0,2
1212,1,1
1213,1,1
1214,0,2
1215,2,2
1216,1,1
1217,1,3
1218,0,2
1219,1,1
1220,0,2
1221,1,1
1222,1,1
1223,1,1
1224,1,1
1225,0,3
1226,1,1
1227,1,1
1228,1,1
1229,2,2
1230,1,1
1231,0,3
1232,0,3
1233,1,3
1234,0,2
1235,1,1
1236,1,1
1237,1,1
1238,1,1
1239,1,3
1240,1,1
1241,0,3
1242,0,3
1243,1,1
1244,0,2
1245,0,3
1246,1,1
1247,1,1
1248,2,3
1249,0,3
1250,1,1
1251,1,1
1252,1,1
1253,1,1
1254,0,3
1255,1,1
1256,2,3
1257,1,1
1258,1,1
1259,1,1
1260,2,3
1261,1,1
1262,1,1
1263,1,1
1264,1,1
1265,1,1
1266,0,2
1267,1,1
1268,1,1
1269,1,1
1270,1,3
1271,0,2
1272,0,3
1273,1,1
1274,2,3
1275,1,1
1276,0,2
1277,1,1
1278,1,3
1279,0,3
1280,1,1
1281,1,3
1282,0,2
1283,1,1
1284,1,1
1285,2,3
1286,0,2
1287,1,1
1288,1,1
1289,1,1
1290,0,3
1291,1,1
1292,1,1
1293,1,1
1294,2,2
1295,0,3
1296,0,2
1297,0,3
1298,1,1
1299,0,3
1300,1,1
1301,1,1
1302,2,2
1303,1,1
1304,0,2
1305,1,1
1306,2,3
1307,2,3
1308,0,3
1309,2,2
1310,1,1
1311,0,2
1312,2,2
1313,1,1
1314,0,3
1315,2,2
1316,0,3
1317,1,1
1318,2,2
1319,2,3
1320,2,3
1321,1,1
1322,0,2
1323,1,1
1324,2,2
1325,1,1
1326,1,1
1327,0,3
1328,1,1
1329,1,1
1330,1,1
1331,0,2
1332,0,2
1333,2,2
1334,1,1
1335,1,1
1336,0,2
1337,0,2
1338,1,1
1339,1,1
1340,1,1
1341,1,1
1342,1,1
1343,0,2
1344,0,2
1345,1,1
1346,0,3
1347,1,1
1348,1,1
1349,1,1
1350,2,3
1351,1,3
1352,0,3
1353,2,3
1354,0,3
1355,1,1
1356,1,1
1357,1,1
1358,0,2
