SID,CNT,SHOW_TYPE
1405,2662152,1
1405,2662152,1
1405,2662152,1
1405,2662152,1
1405,2662152,1
1405,2662152,2
1405,2662152,2
1405,2662152,1
1405,2662152,1
1405,2662152,1
903,114540,1
903,114540,1
903,114540,1
903,114540,1
903,114540,1
903,114540,2
903,114540,2
903,114540,1
903,114540,1
903,114540,1
1803,74479,1
1803,74479,1
1803,74479,1
1803,74479,1
1803,74479,1
1803,74479,2
1803,74479,2
1803,74479,1
1803,74479,1
1803,74479,1
1002,62713,1
1002,62713,1
1002,62713,1
1002,62713,1
1002,62713,1
1002,62713,2
1002,62713,2
1002,62713,1
1002,62713,1
1002,62713,1
1201,56723,1
1201,56723,1
1201,56723,1
1201,56723,1
1201,56723,1
1201,56723,2
1201,56723,2
1201,56723,1
1201,56723,1
1201,56723,1
1801,26576,1
1801,26576,1
1801,26576,1
1801,26576,1
1801,26576,1
1801,26576,2
1801,26576,2
1801,26576,1
1801,26576,1
1801,26576,1
201,20704,1
201,20704,1
201,20704,1
201,20704,1
201,20704,1
201,20704,2
201,20704,2
201,20704,1
201,20704,1
201,20704,1
208,17852,1
208,17852,1
208,17852,1
208,17852,1
208,17852,1
208,17852,2
208,17852,2
208,17852,1
208,17852,1
208,17852,1
1401,17143,1
1401,17143,1
1401,17143,1
1401,17143,1
1401,17143,1
1401,17143,2
1401,17143,2
1401,17143,1
1401,17143,1
1401,17143,1
1703,6496,1
1703,6496,1
1703,6496,1
1703,6496,1
1703,6496,1
1703,6496,2
1703,6496,2
1703,6496,1
1703,6496,1
1703,6496,1
1606,4948,1
1606,4948,1
1606,4948,1
1606,4948,1
1606,4948,1
1606,4948,2
1606,4948,2
1606,4948,1
1606,4948,1
1606,4948,1
1605,4819,1
1605,4819,1
1605,4819,1
1605,4819,1
1605,4819,1
1605,4819,2
1605,4819,2
1605,4819,1
1605,4819,1
1605,4819,1
1706,4285,1
1706,4285,1
1706,4285,1
1706,4285,1
1706,4285,1
1706,4285,2
1706,4285,2
1706,4285,1
1706,4285,1
1706,4285,1
1505,3555,1
1505,3555,1
1505,3555,1
1505,3555,1
1505,3555,1
1505,3555,2
1505,3555,2
1505,3555,1
1505,3555,1
1505,3555,1
1705,3300,1
1705,3300,1
1705,3300,1
1705,3300,1
1705,3300,1
1705,3300,2
1705,3300,2
1705,3300,1
1705,3300,1
1705,3300,1
4304,1928,1
4304,1928,1
4304,1928,1
4304,1928,1
4304,1928,1
4304,1928,2
4304,1928,2
4304,1928,1
4304,1928,1
4304,1928,1
3101,1722,1
3101,1722,1
3101,1722,1
3101,1722,1
3101,1722,1
3101,1722,2
3101,1722,2
3101,1722,1
3101,1722,1
3101,1722,1
1007,1439,1
1007,1439,1
1007,1439,1
1007,1439,1
1007,1439,1
1007,1439,2
1007,1439,2
1007,1439,1
1007,1439,1
1007,1439,1
403,902,1
403,902,1
403,902,1
403,902,1
403,902,1
403,902,2
403,902,2
403,902,1
403,902,1
403,902,1
1203,821,1
1203,821,1
1203,821,1
1203,821,1
1203,821,1
1203,821,2
1203,821,2
1203,821,1
1203,821,1
1203,821,1
4301,2546328,9
4302,619862,9
65200,79335,9
1001,69198,9
1308,2739,9
301,15,9
1404,14,9
904,10,9
4002,8,9
1403,8,9
308,4,9
65200,2293648,2
3704,32484,2
4503,25548,2
3701,24760,2
1405,16096,2
1503,15016,2
4601,6077,2
3501,4256,2
3401,3616,2
4801,2688,2
4802,2309,2
1404,1962,2
3703,1744,2
4403,1540,2
3602,1269,2
904,820,2
3303,685,2
1202,622,2
903,349,2
3301,348,2
4601,2230088,9
1405,19997,9
3701,11627,9
4202,8776,9
1001,4842,9
1202,2000,9
3702,278,9
4401,93,9
4404,78,9
1308,38,9
3102,29,9
906,24,9
307,22,9
309,12,9
1206,8,9
1208,7,9
4801,5,9
1404,3,9
1402,2,9
1403,2,9
1507,2056952,2
1507,2056952,1
1503,364790,2
1503,364790,1
904,344542,2
904,344542,1
1606,134887,2
1606,134887,1
404,119552,2
404,119552,1
1705,102464,2
1705,102464,1
905,95420,2
905,95420,1
1007,91112,2
1007,91112,1
1603,79752,2
1603,79752,1
202,74945,2
202,74945,1
1706,69545,2
1706,69545,1
1201,61302,2
1201,61302,1
1005,50295,2
1005,50295,1
1401,48241,2
1401,48241,1
1605,47907,2
1605,47907,1
1501,36865,2
1501,36865,1
1602,36585,2
1602,36585,1
1505,27044,2
1505,27044,1
402,17406,2
402,17406,1
1604,16667,2
1604,16667,1
4302,1999894,2
4302,1999894,2
4302,1999894,1
4302,1999894,1
3704,320588,2
3704,320588,2
3704,320588,1
3704,320588,1
65200,319794,2
65200,319794,2
65200,319794,1
65200,319794,1
3202,202091,2
3202,202091,2
3202,202091,1
3202,202091,1
3703,145120,2
3703,145120,2
3703,145120,1
3703,145120,1
3702,75325,2
3702,75325,2
3702,75325,1
3702,75325,1
307,61688,2
307,61688,2
307,61688,1
307,61688,1
1206,51587,2
1206,51587,2
1206,51587,1
1206,51587,1
3903,44914,2
3903,44914,2
3903,44914,1
3903,44914,1
3503,34671,2
3503,34671,2
3503,34671,1
3503,34671,1
3803,27379,2
3803,27379,2
3803,27379,1
3803,27379,1
4802,23511,2
4802,23511,2
4802,23511,1
4802,23511,1
4704,23052,2
4704,23052,2
4704,23052,1
4704,23052,1
1803,21924,2
1803,21924,2
1803,21924,1
1803,21924,1
4104,21551,2
4104,21551,2
4104,21551,1
4104,21551,1
7303,19794,2
7303,19794,2
7303,19794,1
7303,19794,1
4101,18871,2
4101,18871,2
4101,18871,1
4101,18871,1
4304,17440,2
