,kmeans_label,hierarchical_label
0,9,1
1,4,5
2,2,4
3,0,5
4,9,1
5,0,5
6,4,5
7,10,5
8,0,5
9,10,5
10,4,5
11,4,5
12,10,5
13,4,5
14,2,4
15,4,5
16,0,5
17,2,4
18,4,5
19,4,5
20,3,2
21,0,5
22,0,5
23,0,5
24,0,5
25,4,5
26,0,5
27,5,5
28,4,5
29,4,5
30,2,4
31,0,5
32,10,5
33,9,1
34,0,5
35,0,5
36,2,4
37,2,4
38,4,5
39,4,5
40,4,5
41,2,4
42,4,5
43,4,5
44,4,5
45,0,5
46,3,2
47,4,5
48,0,5
49,4,5
50,2,4
51,5,5
52,2,4
53,4,5
54,5,5
55,2,4
56,4,5
57,4,5
58,9,1
59,4,5
60,10,5
61,1,1
62,10,5
63,0,5
64,9,1
65,0,5
66,4,5
67,4,5
68,4,5
69,4,5
70,4,5
71,0,5
72,4,5
73,4,5
74,4,5
75,4,5
76,4,5
77,2,4
78,0,5
79,4,5
80,4,5
81,4,5
82,10,5
83,2,4
84,2,4
85,0,5
86,4,5
87,10,5
88,5,5
89,0,5
90,10,5
91,4,5
92,4,5
93,4,5
94,4,5
95,4,5
96,0,5
97,4,5
98,4,5
99,4,5
100,0,5
101,4,5
102,2,4
103,0,5
104,4,5
105,1,1
106,4,5
107,0,5
108,2,4
109,0,5
110,0,5
111,4,5
112,0,5
113,4,5
114,4,5
115,4,5
116,0,5
117,4,5
118,10,5
119,0,5
120,0,5
121,2,4
122,5,5
123,0,5
124,4,5
125,2,4
126,4,5
127,2,4
128,4,5
129,5,5
130,4,5
131,2,4
132,0,5
133,4,5
134,2,4
135,5,5
136,4,5
137,0,5
138,0,5
139,0,5
140,4,5
141,2,4
142,0,5
143,4,5
144,4,5
145,0,5
146,3,2
147,2,4
148,10,5
149,0,5
150,0,5
151,4,5
152,0,5
153,0,5
154,0,5
155,0,5
156,4,5
157,4,5
158,4,5
159,4,5
160,5,5
161,0,5
162,4,5
163,4,5
164,2,4
165,4,5
166,9,1
167,0,5
168,0,5
169,4,5
170,9,1
171,4,5
172,4,5
173,4,5
174,10,5
175,0,5
176,0,5
177,10,5
178,4,5
179,4,5
180,4,5
181,2,4
182,4,5
183,4,5
184,0,5
185,0,5
186,4,5
187,4,5
188,1,1
189,4,5
190,2,4
191,4,5
192,6,3
193,4,5
194,0,5
195,4,5
196,4,5
197,10,5
198,9,1
199,4,5
200,4,5
201,4,5
202,0,5
203,0,5
204,4,5
205,10,5
206,4,5
207,0,5
208,0,5
209,4,5
210,5,5
211,4,5
212,2,4
213,0,5
214,2,4
215,2,4
216,4,5
217,10,5
218,2,4
219,10,5
220,0,5
221,4,5
222,0,5
223,0,5
224,10,5
225,5,5
226,10,5
227,4,5
228,0,5
229,2,4
230,0,5
231,4,5
232,4,5
233,0,5
234,0,5
235,4,5
236,0,5
237,2,4
238,0,5
239,4,5
240,2,4
241,4,5
242,4,5
243,5,5
244,4,5
245,5,5
246,5,5
247,4,5
248,4,5
249,2,4
250,4,5
251,0,5
252,4,5
253,0,5
254,5,5
255,2,4
256,4,5
257,0,5
258,4,5
259,1,1
260,0,5
261,4,5
262,4,5
263,4,5
264,4,5
265,4,5
266,0,5
267,9,1
268,4,5
269,0,5
270,4,5
271,2,4
272,0,5
273,4,5
274,4,5
275,5,5
276,2,4
277,4,5
278,0,5
279,4,5
280,0,5
281,4,5
282,4,5
283,0,5
284,4,5
285,8,1
286,4,5
287,4,5
288,5,5
289,4,5
290,4,5
291,4,5
292,4,5
293,4,5
294,4,5
295,9,1
296,0,5
297,0,5
298,4,5
299,4,5
300,0,5
301,4,5
302,4,5
303,4,5
304,2,4
305,2,4
306,4,5
307,10,5
308,0,5
309,5,5
310,4,5
311,0,5
312,10,5
313,4,5
314,2,4
315,0,5
316,0,5
317,0,5
318,0,5
319,4,5
320,0,5
321,3,2
322,10,5
323,4,5
324,4,5
325,4,5
326,4,5
327,6,3
328,4,5
329,10,5
330,0,5
331,4,5
332,4,5
333,0,5
334,0,5
335,5,5
336,4,5
337,0,5
338,4,5
339,0,5
340,4,5
341,1,1
342,10,5
343,4,5
344,0,5
345,4,5
346,10,5
347,4,5
348,2,4
349,4,5
350,4,5
351,4,5
352,4,5
353,4,5
354,2,4
355,4,5
356,4,5
357,0,5
358,0,5
359,0,5
360,0,5
361,0,5
362,9,1
363,0,5
364,2,4
365,0,5
366,0,5
367,4,5
368,10,5
369,2,4
370,0,5
